Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-338541.2083596479, B=3820.0, C=-0.4, u0=816.197375010689, ε0=1.0, τa=1.0, dPhi=0.0 Φs=-1.836868340061336e-05 Φa=-8.42135104789774e-06 Φw=-8.42135104789774e-06 Φwcalib=-8.42135104789774e-06 τw=1.0)
348; 273.20; 0.0013829849; 0.0000000000; 0.0000
349; 273.20; 0.0013800310; 0.0000000000; 0.0000
350; 273.20; 0.0013770772; 0.0000000000; 0.0000
351; 273.20; 0.0013741233; 0.0000000000; 0.0000
352; 273.20; 0.0013711695; 0.0000000000; 0.0000
353; 273.20; 0.0013682156; 0.0000000000; 0.0000
354; 273.20; 0.0013652618; 0.0000000000; 0.0000
355; 273.20; 0.0013623079; 0.0000000000; 0.0000
356; 273.20; 0.0013593541; 0.0000000000; 0.0000
357; 273.20; 0.0013564002; 0.0000000000; 0.0000
358; 273.20; 0.0013534464; 0.0000000000; 0.0000
359; 273.20; 0.0013504925; 0.0000000000; 0.0000
360; 273.20; 0.0013475387; 0.0000000000; 0.0000
361; 273.20; 0.0013445848; 0.0000000000; 0.0000
362; 273.20; 0.0013416310; 0.0000000000; 0.0000
363; 273.20; 0.0013386771; 0.0000000000; 0.0000
364; 273.20; 0.0013357233; 0.0000000000; 0.0000
365; 273.20; 0.0013327694; 0.0000000000; 0.0000
366; 273.20; 0.0013298156; 0.0000000000; 0.0000
367; 273.20; 0.0013268617; 0.0000000000; 0.0000
368; 273.20; 0.0013239079; 0.0000000000; 0.0000
369; 273.20; 0.0013209540; 0.0000000000; 0.0000
370; 273.20; 0.0013180002; 0.0000000000; 0.0000
371; 273.20; 0.0013150463; 0.0000000000; 0.0000
372; 273.20; 0.0013120925; 0.0000000000; 0.0000
373; 273.20; 0.0013091386; 0.0000000000; 0.0000
374; 273.20; 0.0013061848; 0.0000000000; 0.0000
375; 273.20; 0.0013032309; 0.0000000000; 0.0000
376; 273.20; 0.0013002771; 0.0000000000; 0.0000
377; 273.20; 0.0012973232; 0.0000000000; 0.0000
378; 273.20; 0.0012943694; 0.0000000000; 0.0000
379; 273.20; 0.0012914155; 0.0000000000; 0.0000
380; 273.20; 0.0012884617; 0.0000000000; 0.0000
381; 273.20; 0.0012855078; 0.0000000000; 0.0000
382; 273.20; 0.0012825540; 0.0000000000; 0.0000
383; 273.20; 0.0012796001; 0.0000000000; 0.0000
384; 273.20; 0.0012766463; 0.0000000000; 0.0000
385; 273.20; 0.0012736924; 0.0000000000; 0.0000
386; 273.20; 0.0012707386; 0.0000000000; 0.0000
387; 273.20; 0.0012677847; 0.0000000000; 0.0000
388; 273.20; 0.0012648309; 0.0000000000; 0.0000
389; 273.20; 0.0012618770; 0.0000000000; 0.0000
390; 273.20; 0.0012589232; 0.0000000000; 0.0000
391; 273.20; 0.0012559693; 0.0000000000; 0.0000
392; 273.20; 0.0012530155; 0.0000000000; 0.0000
393; 273.20; 0.0012500616; 0.0000000000; 0.0000
394; 273.20; 0.0012471078; 0.0000000000; 0.0000
395; 273.20; 0.0012441539; 0.0000000000; 0.0000
396; 273.20; 0.0012412001; 0.0000000000; 0.0000
397; 273.20; 0.0012382462; 0.0000000000; 0.0000
398; 273.20; 0.0012352924; 0.0000000000; 0.0000
399; 273.20; 0.0012323385; 0.0000000000; 0.0000
400; 273.20; 0.0012293847; 0.0000000000; 0.0000
401; 273.20; 0.0012264308; 0.0000000000; 0.0000
402; 273.20; 0.0012234770; 0.0000000000; 0.0000
403; 273.20; 0.0012205231; 0.0000000000; 0.0000
404; 273.20; 0.0012175693; 0.0000000000; 0.0000
405; 273.20; 0.0012146154; 0.0000000000; 0.0000
406; 273.20; 0.0012116616; 0.0000000000; 0.0000
407; 273.20; 0.0012087077; 0.0000000000; 0.0000
408; 273.20; 0.0012057539; 0.0000000000; 0.0000
409; 273.20; 0.0012028000; 0.0000000000; 0.0000
410; 273.20; 0.0011998462; 0.0000000000; 0.0000
411; 273.20; 0.0011968923; 0.0000000000; 0.0000
412; 273.20; 0.0011939385; 0.0000000000; 0.0000
413; 273.20; 0.0011909846; 0.0000000000; 0.0000
414; 273.20; 0.0011880308; 0.0000000000; 0.0000
415; 273.20; 0.0011850769; 0.0000000000; 0.0000
416; 273.20; 0.0011821231; 0.0000000000; 0.0000
417; 273.20; 0.0011791692; 0.0000000000; 0.0000
418; 273.20; 0.0011762154; 0.0000000000; 0.0000
419; 273.20; 0.0011732615; 0.0000000000; 0.0000
420; 273.20; 0.0011703077; 0.0000000000; 0.0000
421; 273.20; 0.0011673538; 0.0000000000; 0.0000
422; 273.20; 0.0011644000; 0.0000000000; 0.0000
423; 273.20; 0.0011614461; 0.0000000000; 0.0000
424; 273.20; 0.0011584923; 0.0000000000; 0.0000
425; 273.20; 0.0011555384; 0.0000000000; 0.0000
426; 273.20; 0.0011525846; 0.0000000000; 0.0000
427; 273.20; 0.0011496307; 0.0000000000; 0.0000
428; 273.20; 0.0011466769; 0.0000000000; 0.0000
429; 273.20; 0.0011437230; 0.0000000000; 0.0000
430; 273.20; 0.0011407692; 0.0000000000; 0.0000
431; 273.20; 0.0011378153; 0.0000000000; 0.0000
432; 273.20; 0.0011348615; 0.0000000000; 0.0000
433; 273.20; 0.0011319076; 0.0000000000; 0.0000
434; 273.20; 0.0011289538; 0.0000000000; 0.0000
435; 273.20; 0.0011259999; 0.0000000000; 0.0000
436; 273.20; 0.0011230461; 0.0000000000; 0.0000
437; 273.20; 0.0011200922; 0.0000000000; 0.0000
438; 273.20; 0.0011171384; 0.0000000000; 0.0000
439; 273.20; 0.0011141845; 0.0000000000; 0.0000
440; 273.20; 0.0011112307; 0.0000000000; 0.0000
441; 273.20; 0.0011082768; 0.0000000000; 0.0000
442; 273.20; 0.0011053230; 0.0000000000; 0.0000
443; 273.20; 0.0011023691; 0.0000000000; 0.0000
444; 273.20; 0.0010994153; 0.0000000000; 0.0000
445; 273.20; 0.0010964614; 0.0000000000; 0.0000
446; 273.20; 0.0010935076; 0.0000000000; 0.0000
447; 273.20; 0.0010905537; 0.0000000000; 0.0000
448; 273.20; 0.0010875999; 0.0000000000; 0.0000
449; 273.20; 0.0010846460; 0.0000000000; 0.0000
450; 273.20; 0.0010816922; 0.0000000000; 0.0000
451; 273.20; 0.0010787383; 0.0000000000; 0.0000
452; 273.20; 0.0010757845; 0.0000000000; 0.0000
453; 273.20; 0.0010728306; 0.0000000000; 0.0000
454; 273.20; 0.0010698768; 0.0000000000; 0.0000
