Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-707092.6149255642, B=3780.0, C=-0.7, u0=821.5723191985746, ε0=0.78, τa=1.0, dPhi=0.0 Φs=-1.187956209280602e-05 Φa=-5.490972035131795e-06 Φw=-5.490972035131795e-06 Φwcalib=-5.490972035131795e-06 τw=1.0)
300; 273.20; 0.0009456788; -0.0000033506; -0.3543
301; 273.20; 0.0009438656; -0.0000033506; -0.3550
302; 273.20; 0.0009420525; -0.0000033506; -0.3557
303; 273.20; 0.0009402394; -0.0000033506; -0.3564
304; 273.20; 0.0009384262; -0.0000033506; -0.3570
305; 273.20; 0.0009366131; -0.0000033506; -0.3577
306; 273.20; 0.0009348000; -0.0000033506; -0.3584
307; 273.20; 0.0009329868; -0.0000033506; -0.3591
308; 273.20; 0.0009311737; -0.0000033506; -0.3598
309; 273.20; 0.0009293606; -0.0000033506; -0.3605
310; 273.20; 0.0009275474; -0.0000033506; -0.3612
311; 273.20; 0.0009257343; -0.0000033506; -0.3619
312; 273.20; 0.0009239212; -0.0000033506; -0.3627
313; 273.20; 0.0009221081; -0.0000033506; -0.3634
314; 273.20; 0.0009202949; -0.0000033506; -0.3641
315; 273.20; 0.0009184818; -0.0000033506; -0.3648
316; 273.20; 0.0009166687; -0.0000033506; -0.3655
317; 273.20; 0.0009148555; -0.0000033506; -0.3662
318; 273.20; 0.0009130424; -0.0000033506; -0.3670
319; 273.20; 0.0009112293; -0.0000033506; -0.3677
320; 273.20; 0.0009094161; -0.0000033506; -0.3684
321; 273.20; 0.0009076030; -0.0000033506; -0.3692
322; 273.20; 0.0009057899; -0.0000033506; -0.3699
323; 273.20; 0.0009039767; -0.0000033506; -0.3707
324; 273.20; 0.0009021636; -0.0000033506; -0.3714
325; 273.20; 0.0009003505; -0.0000033506; -0.3721
326; 273.20; 0.0008985374; -0.0000033506; -0.3729
327; 273.20; 0.0008967242; -0.0000033506; -0.3737
328; 273.20; 0.0008949111; -0.0000033506; -0.3744
329; 273.20; 0.0008930980; -0.0000033506; -0.3752
330; 273.20; 0.0008912848; -0.0000033506; -0.3759
331; 273.20; 0.0008894717; -0.0000033506; -0.3767
332; 273.20; 0.0008876586; -0.0000033506; -0.3775
333; 273.20; 0.0008858454; -0.0000033506; -0.3782
334; 273.20; 0.0008840323; -0.0000033506; -0.3790
335; 273.20; 0.0008822192; -0.0000033506; -0.3798
336; 273.20; 0.0008804060; -0.0000033506; -0.3806
337; 273.20; 0.0008785929; -0.0000033506; -0.3814
338; 273.20; 0.0008767798; -0.0000033506; -0.3822
339; 273.20; 0.0008749667; -0.0000033506; -0.3829
340; 273.20; 0.0008731535; -0.0000033506; -0.3837
341; 273.20; 0.0008713404; -0.0000033506; -0.3845
342; 273.20; 0.0008695273; -0.0000033506; -0.3853
343; 273.20; 0.0008677141; -0.0000033506; -0.3861
344; 273.20; 0.0008659010; -0.0000033506; -0.3870
345; 273.20; 0.0008640879; -0.0000033506; -0.3878
346; 273.20; 0.0008622747; -0.0000033506; -0.3886
347; 273.20; 0.0008604616; -0.0000033506; -0.3894
348; 273.20; 0.0008586485; -0.0000033506; -0.3902
349; 273.20; 0.0008568353; -0.0000033506; -0.3910
350; 273.20; 0.0008550222; -0.0000033506; -0.3919
351; 273.20; 0.0008532091; -0.0000033506; -0.3927
352; 273.20; 0.0008513960; -0.0000033506; -0.3935
353; 273.20; 0.0008495828; -0.0000033506; -0.3944
354; 273.20; 0.0008477697; -0.0000033506; -0.3952
355; 273.20; 0.0008459566; -0.0000033506; -0.3961
356; 273.20; 0.0008441434; -0.0000033506; -0.3969
357; 273.20; 0.0008423303; -0.0000033506; -0.3978
358; 273.20; 0.0008405172; -0.0000033506; -0.3986
359; 273.20; 0.0008387040; -0.0000033506; -0.3995
360; 273.20; 0.0008368909; -0.0000033506; -0.4004
361; 273.20; 0.0008350778; -0.0000033506; -0.4012
362; 273.20; 0.0008332647; -0.0000033506; -0.4021
363; 273.20; 0.0008314515; -0.0000033506; -0.4030
364; 273.20; 0.0008296384; -0.0000033506; -0.4039
365; 273.20; 0.0008278253; -0.0000033506; -0.4048
366; 273.20; 0.0008260121; -0.0000033506; -0.4056
367; 273.20; 0.0008241990; -0.0000033506; -0.4065
368; 273.20; 0.0008223859; -0.0000033506; -0.4074
369; 273.20; 0.0008205727; -0.0000033506; -0.4083
370; 273.20; 0.0008187596; -0.0000033506; -0.4092
371; 273.20; 0.0008169465; -0.0000033506; -0.4101
372; 273.20; 0.0008151333; -0.0000033506; -0.4111
373; 273.20; 0.0008133202; -0.0000033506; -0.4120
374; 273.20; 0.0008115071; -0.0000033506; -0.4129
375; 273.20; 0.0008096940; -0.0000033506; -0.4138
376; 273.20; 0.0008078808; -0.0000033506; -0.4147
377; 273.20; 0.0008060677; -0.0000033506; -0.4157
378; 273.20; 0.0008042546; -0.0000033506; -0.4166
379; 273.20; 0.0008024414; -0.0000033506; -0.4176
380; 273.20; 0.0008006283; -0.0000033506; -0.4185
381; 273.20; 0.0007988152; -0.0000033506; -0.4195
382; 273.20; 0.0007970020; -0.0000033506; -0.4204
383; 273.20; 0.0007951889; -0.0000033506; -0.4214
384; 273.20; 0.0007933758; -0.0000033506; -0.4223
385; 273.20; 0.0007915626; -0.0000033506; -0.4233
386; 273.20; 0.0007897495; -0.0000033506; -0.4243
387; 273.20; 0.0007879364; -0.0000033506; -0.4252
388; 273.20; 0.0007861233; -0.0000033506; -0.4262
389; 273.20; 0.0007843101; -0.0000033506; -0.4272
390; 273.20; 0.0007824970; -0.0000033506; -0.4282
